time,total_market_cap,symbols_count,total_index
2016-07-02,14387533622.084005,2,14387533622.084005
2016-07-03,13463429598.71581,2,13463429598.71581
2016-07-04,13984028742.293545,2,13984028742.293545
2016-07-05,13717273017.488836,2,13717273017.488836
2016-07-06,13852213427.7933,2,13852213427.7933
2016-07-07,13091540004.053247,2,13091540004.053247
2016-07-08,13617635705.42656,2,13617635705.42656
2016-07-09,13302860125.946207,2,13302860125.946207
2016-07-10,13266106993.418608,2,13266106993.418608
2016-07-11,13231077350.019112,2,13231077350.019112
2016-07-12,13573204139.904743,2,13573204139.904743
2016-07-13,13370956512.106144,2,13370956512.106144
2016-07-14,13443721242.554657,2,13443721242.554657
2016-07-15,13547849578.085445,2,13547849578.085445
2016-07-16,13496149940.646215,2,13496149940.646215
2016-07-17,13873366551.820406,2,13873366551.820406
2016-07-18,13743459254.903177,2,13743459254.903177
2016-07-19,13738704013.507828,2,13738704013.507828
2016-07-20,13593664054.126097,2,13593664054.126097
2016-07-21,13579871086.812216,2,13579871086.812216
2016-07-22,13286512355.827332,2,13286512355.827332
2016-07-23,13386419843.424885,2,13386419843.424885
2016-07-24,13501738005.343174,2,13501738005.343174
2016-07-25,13355407493.328272,2,13355407493.328272
2016-07-26,13304543634.484383,2,13304543634.484383
2016-07-27,13354668301.522877,2,13354668301.522877
2016-07-28,13369197991.304184,2,13369197991.304184
2016-07-29,13416626180.684456,2,13416626180.684456
2016-07-30,13376634374.75298,2,13376634374.75298
2016-07-31,12767268178.737875,2,12767268178.737875
2016-08-01,12388565914.305841,2,12388565914.305841
2016-08-02,11198448718.150826,2,11198448718.150826
2016-08-03,11581330635.598566,2,11581330635.598566
2016-08-04,11821608029.942596,2,11821608029.942596
2016-08-05,11755377327.712948,2,11755377327.712948
2016-08-06,12011778043.478699,2,12011778043.478699
2016-08-07,12111295763.901497,2,12111295763.901497
2016-08-08,12079060612.45176,2,12079060612.45176
2016-08-09,12012204113.503685,2,12012204113.503685
2016-08-10,12095158195.667479,2,12095158195.667479
2016-08-11,12037168057.251657,2,12037168057.251657
2016-08-12,12003521283.507792,2,12003521283.507792
2016-08-13,11964593656.223864,2,11964593656.223864
2016-08-14,11658190999.302681,2,11658190999.302681
2016-08-15,11588108720.20472,2,11588108720.20472
2016-08-16,11796182917.630596,2,11796182917.630596
2016-08-17,11709019883.285425,2,11709019883.285425
2016-08-18,11731588257.351969,2,11731588257.351969
2016-08-19,11757526498.061628,2,11757526498.061628
2016-08-20,11879419752.893038,2,11879419752.893038
2016-08-21,11871622321.014757,2,11871622321.014757
2016-08-22,11983458790.974476,2,11983458790.974476
2016-08-23,11937798146.453316,2,11937798146.453316
2016-08-24,11867521994.897305,2,11867521994.897305
2016-08-25,11815178005.362946,2,11815178005.362946
